case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
166,4,1,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0697-v1.yml
167,4,2,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0697-v1.yml
168,4,3,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0697-v1.yml
169,4,4,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0697-v1.yml
170,4,5,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0697-v1.yml
171,4,6,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0697-v1.yml
172,4,7,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0697-v1.yml
173,4,8,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0697-v1.yml
174,4,9,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0697-v1.yml
175,4,10,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0697-v1.yml
176,4,11,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0697-v1.yml
177,4,12,16,ADV-0697,Maze of the Mountain King,Dungeon Delver's Guide,EN Publishing,3,Levels,levels-v2.1,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-levels-adv0697-v1.yml
178,4,13,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0763-v1.yml
179,4,14,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0763-v1.yml
180,4,15,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0763-v1.yml
181,4,16,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0763-v1.yml
182,4,17,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0763-v1.yml
183,4,18,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0763-v1.yml
184,4,19,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0763-v1.yml
185,4,20,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0763-v1.yml
186,4,21,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0763-v1.yml
187,4,22,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0763-v1.yml
188,4,23,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0763-v1.yml
189,4,24,17,ADV-0763,The Clockwork Magpie,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Levels,levels-v2.1,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-levels-adv0763-v1.yml
190,4,25,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0764-v1.yml
191,4,26,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0764-v1.yml
192,4,27,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0764-v1.yml
193,4,28,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0764-v1.yml
194,4,29,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0764-v1.yml
195,4,30,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0764-v1.yml
196,4,31,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0764-v1.yml
197,4,32,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0764-v1.yml
198,4,33,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0764-v1.yml
199,4,34,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0764-v1.yml
200,4,35,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0764-v1.yml
201,4,36,18,ADV-0764,"Sweet, Sweet Mead of Mine",The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Levels,levels-v2.1,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-levels-adv0764-v1.yml
202,4,37,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0765-v1.yml
203,4,38,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0765-v1.yml
204,4,39,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0765-v1.yml
205,4,40,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0765-v1.yml
206,4,41,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0765-v1.yml
207,4,42,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0765-v1.yml
208,4,43,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0765-v1.yml
209,4,44,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0765-v1.yml
210,4,45,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0765-v1.yml
211,4,46,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0765-v1.yml
212,4,47,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0765-v1.yml
213,4,48,19,ADV-0765,Dear Cyrano,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Levels,levels-v2.1,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-levels-adv0765-v1.yml
214,4,49,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0766-v1.yml
215,4,50,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0766-v1.yml
216,4,51,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0766-v1.yml
217,4,52,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0766-v1.yml
218,4,53,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0766-v1.yml
219,4,54,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0766-v1.yml
220,4,55,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0766-v1.yml
221,4,56,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0766-v1.yml
222,4,57,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0766-v1.yml
223,4,58,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0766-v1.yml
224,4,59,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0766-v1.yml
225,4,60,20,ADV-0766,The Heart of the Forest,The Seeker's Guide to Twisted Taverns,Eldermancy LLC,1,Levels,levels-v2.1,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-levels-adv0766-v1.yml
