case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
56,2,1,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0687-v1.yml
57,2,2,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0687-v1.yml
58,2,3,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0687-v1.yml
59,2,4,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0687-v1.yml
60,2,5,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0687-v1.yml
61,2,6,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0687-v1.yml
62,2,7,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0687-v1.yml
63,2,8,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0687-v1.yml
64,2,9,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0687-v1.yml
65,2,10,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0687-v1.yml
66,2,11,6,ADV-0687,Where There's Smoke...,The Game Master's Book of Non-Player Characters,Media Lab Books,14,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0687-v1.yml
67,2,12,7,ADV-0688,Hidden Horrors,The Game Master's Book of Non-Player Characters,Media Lab Books,12,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0688-v1.yml
68,2,13,7,ADV-0688,Hidden Horrors,The Game Master's Book of Non-Player Characters,Media Lab Books,12,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0688-v1.yml
