case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
119,3,1,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-031/production-backlog-031-qwen27-nos-adv0793-v1.yml
120,3,2,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-031/production-backlog-031-gptoss-ee-adv0793-v1.yml
121,3,3,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-031/production-backlog-031-gemma-gmpb-adv0793-v1.yml
122,3,4,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-combat-adv0793-v1.yml
123,3,5,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-social-adv0793-v1.yml
124,3,6,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-investigation-adv0793-v1.yml
125,3,7,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Structural Openness,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-structural-openness-adv0793-v1.yml
126,3,8,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-darkness-adv0793-v1.yml
127,3,9,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-player-beginner-adv0793-v1.yml
128,3,10,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-gmbs-adv0793-v1.yml
129,3,11,11,ADV-0793,Tindailin — an Elven Refuge,Ruins of Eriador,Free League Publishing,6,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-031/production-backlog-031-qwen-seriousness-adv0793-v1.yml
130,3,12,12,ADV-0794,The Fields of Slaughter,Ruins of Eriador,Free League Publishing,5,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-031/production-backlog-031-qwen27-nos-adv0794-v1.yml
131,3,13,12,ADV-0794,The Fields of Slaughter,Ruins of Eriador,Free League Publishing,5,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-031/production-backlog-031-gptoss-ee-adv0794-v1.yml
132,3,14,12,ADV-0794,The Fields of Slaughter,Ruins of Eriador,Free League Publishing,5,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-031/production-backlog-031-gemma-gmpb-adv0794-v1.yml
