case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
56,2,1,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-037/production-backlog-037-qwen27-nos-adv0931-v1.yml
57,2,2,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-037/production-backlog-037-gptoss-ee-adv0931-v1.yml
58,2,3,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-037/production-backlog-037-gemma-gmpb-adv0931-v1.yml
59,2,4,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-combat-adv0931-v1.yml
60,2,5,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-social-adv0931-v1.yml
61,2,6,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-investigation-adv0931-v1.yml
62,2,7,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Structural Openness,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-structural-openness-adv0931-v1.yml
63,2,8,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-darkness-adv0931-v1.yml
64,2,9,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-player-beginner-adv0931-v1.yml
65,2,10,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-gmbs-adv0931-v1.yml
66,2,11,6,ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-037/production-backlog-037-qwen-seriousness-adv0931-v1.yml
67,2,12,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-037/production-backlog-037-qwen27-nos-adv0932-v1.yml
68,2,13,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-037/production-backlog-037-gptoss-ee-adv0932-v1.yml
69,2,14,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-037/production-backlog-037-gemma-gmpb-adv0932-v1.yml
70,2,15,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-combat-adv0932-v1.yml
71,2,16,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-social-adv0932-v1.yml
72,2,17,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-investigation-adv0932-v1.yml
73,2,18,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Structural Openness,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-structural-openness-adv0932-v1.yml
74,2,19,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-darkness-adv0932-v1.yml
75,2,20,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-player-beginner-adv0932-v1.yml
76,2,21,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-gmbs-adv0932-v1.yml
77,2,22,7,ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-037/production-backlog-037-qwen-seriousness-adv0932-v1.yml
78,2,23,8,ADV-0933,Everybody Dies in a Den of Snakes,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-037/production-backlog-037-qwen27-nos-adv0933-v1.yml
79,2,24,8,ADV-0933,Everybody Dies in a Den of Snakes,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-037/production-backlog-037-gptoss-ee-adv0933-v1.yml
