case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
121,3,1,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-029/production-backlog-029-qwen27-nos-adv0708-v1.yml
122,3,2,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-029/production-backlog-029-gptoss-ee-adv0708-v1.yml
123,3,3,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-029/production-backlog-029-gemma-gmpb-adv0708-v1.yml
124,3,4,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-combat-adv0708-v1.yml
125,3,5,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-social-adv0708-v1.yml
126,3,6,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-investigation-adv0708-v1.yml
127,3,7,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Structural Openness,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-structural-openness-adv0708-v1.yml
128,3,8,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-darkness-adv0708-v1.yml
129,3,9,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-player-beginner-adv0708-v1.yml
130,3,10,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-gmbs-adv0708-v1.yml
131,3,11,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-029/production-backlog-029-qwen-seriousness-adv0708-v1.yml
132,3,12,11,ADV-0708,Delthur's Folly,The Dread Dungeononomicon,Raging Swan Press,12,Levels,levels-v2.1,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-levels-adv0708-v1.yml
133,3,13,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-029/production-backlog-029-qwen27-nos-adv0709-v1.yml
134,3,14,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-029/production-backlog-029-gptoss-ee-adv0709-v1.yml
135,3,15,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-029/production-backlog-029-gemma-gmpb-adv0709-v1.yml
136,3,16,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-combat-adv0709-v1.yml
137,3,17,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-social-adv0709-v1.yml
138,3,18,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-investigation-adv0709-v1.yml
139,3,19,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Structural Openness,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-structural-openness-adv0709-v1.yml
140,3,20,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-darkness-adv0709-v1.yml
141,3,21,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-player-beginner-adv0709-v1.yml
142,3,22,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-gmbs-adv0709-v1.yml
143,3,23,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-029/production-backlog-029-qwen-seriousness-adv0709-v1.yml
144,3,24,12,ADV-0709,Deszraul's Hold,The Dread Dungeononomicon,Raging Swan Press,10,Levels,levels-v2.1,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-levels-adv0709-v1.yml
